id,Category,Ambiguity,Cas_No,CAS,Chemical_Formula,Molar_Mass,Chemical_Name,IUPAC_name,Alt_Chem_Name,Acronym,Alt_Acronym,INCHIKEY,DTXSID,DTXCID,SMILES,SMILES_CAN,INCHI_STRING,Note
chem0101,Acetate,NA,110-19-0,110190,C6H12O2,116.16,Isobutyl acetate,2-Methylpropyl acetate,NA,NA,NA,GJRQTCIYDGXPES-UHFFFAOYSA-N,DTXSID5026837,DTXCID906837,CC(C)COC(C)=O,CC(COC(=O)C)C,"InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3",NA
chem0102,Ketone,NA,110-43-0,110430,C7H14O,114.188,2-Heptanone,Heptan-2-one,NA,NA,NA,CATSNJVOTSVZJV-UHFFFAOYSA-N,DTXSID5021916,DTXCID601916,CCCCCC(C)=O,CCCCCC(=O)C,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",NA
chem0103,Alkane,NA,110-54-3,110543,C6H14,86.178,Hexane,Hexane,NA,NA,NA,VLKZOEOYAKHREP-UHFFFAOYSA-N,DTXSID0021917,DTXCID001917,CCCCCC,CCCCCC,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",NA
chem0104,Nitrile,NA,110-59-8,110598,C5H9N,83.134,Valeronitrile,Pentanenitrile,Pentanonitrile,NA,NA,RFFFKMOABOFIDF-UHFFFAOYSA-N,DTXSID3026275,DTXCID106275,CCCCC#N,CCCCC#N,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",NA
chem0105,Formate,NA,110-74-7,110747,C4H8O2,88.106,Propyl formate,Propyl formate,NA,NA,NA,KFNNIILCVOLYIR-UHFFFAOYSA-N,DTXSID3059391,DTXCID6033166,CCCOC=O,CCCOC=O,"InChI=1S/C4H8O2/c1-2-3-6-4-5/h4H,2-3H2,1H3",NA
chem0106,Cyclic,NA,110-82-7,110827,C6H12,84.162,Cyclohexane,Cyclohexane,NA,NA,NA,XDTMQSROBMDMFD-UHFFFAOYSA-N,DTXSID4021923,DTXCID701923,C1CCCCC1,C1CCCCC1,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,NA
chem0107,Cyclic,NA,110-83-8,110838,C6H10,82.146,Cyclohexene,Cyclohexene,NA,NA,NA,HGCIXCUEYOPUTN-UHFFFAOYSA-N,DTXSID9038717,DTXCID7018717,C1CCC=CC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2",NA
chem0108,Piperidine ,NA,110-89-4,110894,C5H11N,85.15,Piperidine,Piperidine,NA,NA,NA,NQRYJNQNLNOLGT-UHFFFAOYSA-N,DTXSID6021165,DTXCID101165,C1CCNCC1,C1CCCNC1,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",NA
chem0109,Alcohol,NA,111-27-3,111273,C6H14O,102.177,Hexanol,Hexan-1-ol,1-Hexanol,NA,NA,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,DTXSID8021931,DTXCID201931,CCCCCCO,CCCCCCO,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",NA
chem0110,Ether,NA,111-43-3,111433,C6H14O,102.177,Propyl ether,1-Propoxypropane,Dipropyl ether,NA,NA,POLCUAVZOMRGSN-UHFFFAOYSA-N,DTXSID8042343,DTXCID6022343,CCCOCCC,CCCOCCC,"InChI=1S/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3",NA
